Blog	four	second	here	reported	k	music	until	example	want	travel	feature	how	wrong	series	re	wasn	service	needed	listen	project	person	saying	release	result	best	asked	much	life	worked	things	had	easy	has	possible	right	old	people	support	happy	inside	ddos	time	team	sign	current	understanding	along	love	working	following	so	course	didn	internet	million	quite	massive	one	vote	open	city	future	turned	say	note	take	knew	ways	going	where	many	photos	former	technology	being	around	traffic	world	power	side	image	her	october	am	an	original	tv	th	case	large	small	past	hours	social	via	single	company	learn	sense	its	always	found	really	major	obama	self	also	play	sometimes	set	see	movie	available	last	whole	community	recent	amp	readers	couple	d	continue	be	anything	clinton	into	link	line	posted	up	us	ago	came	having	try	video	let	great	makes	tools	next	process	high	move	presidential	doing	could	put	start	system	haven	face	fact	bring	should	hope	means	stuff	email	co	ve	off	less	web	five	become	does	problem	chance	worth	told	total	work	after	order	then	them	they	network	created	another	do	away	com	information	voice	hand	photo	thanks	board	night	security	comments	post	months	way	true	update	together	change	live	car	write	product	remember	still	non	half	now	domain	year	space	looking	shows	care	directly	friend	than	online	america	only	between	article	comes	learning	these	media	real	read	early	using	business	your	aren	lot	building	since	month	very	learned	family	ask	takes	site	history	tried	help	soon	actually	event	reason	american	clear	pretty	during	x	close	won	probably	both	else	lives	look	while	used	friends	user	game	some	run	step	seeing	within	himself	similar	doesn	e	go	facebook	click	win	started	control	including	him	special	completely	keep	powerful	such	data	attack	final	need	able	anyway	based	years	she	computer	state	key	group	well	lost	page	twitter	home	he	stories	piece	skills	companies	across	likely	even	tips	ever	never	campaign	tell	room	give	amazing	answer	president	before	personal	better	weeks	went	mean	content	reader	isn	features	matter	seen	don	m	stop	bad	decided	said	against	appeared	three	website	if	make	left	just	human	yes	yet	save	deal	popular	down	drive	finally	me	did	useful	visit	making	may	man	maybe	talk	nbsp	interesting	policy	morning	earlier	thing	think	first	long	little	anyone	hillary	were	especially	show	sites	enough	black	get	behind	reading	according	mark	those	different	pay	same	running	money	either	trying	images	videos	youtube	again	important	u	starting	issues	public	search	published	two	particular	share	needs	coming	through	good	everyone	house	hard	idea	done	least	believe	build	most	services	find	common	simple	simply	create	understand	itself	spent	source	big	bit	google	often	back	giving	access	others	private	links	account	bunch	ll	instead	day	announced	text	taking	value	almost	thought	add	works	actual	buy	minutes	under	every	enjoy	changes	york	would	phone	my	times	end	over	writing	each	driving	got	free	wanted	days	already	top	too	took	talking	though	watch	report	full	news	conference	been	quickly	experience	several	gave	which	donald	election	everything	hear	no	focus	cool	level	posts	says	goes	today	trump	figure	huge	happened	name	turn	place	any	ideas	sure	later	written	outside	come	myself	someone	check	week	without	when	seems	blog	or	there	longer	wife	all	program	woman	far	list	design	version	known	short	might	wouldn	number	friday	feel	story	store	kind	nothing	part	his	hit	wrote	art	recently	creating	attention	c	reasons	due	know	questions	customers	question	fast	called	nice	users	problems	once	apple	app	use	few	women	something	looks	related	our	out	latest	conversation	their	who	why	please	debate	thousands	ones	words	view	will	perhaps	gets	difficult	point	other	because	getting	own	apps	made	whether	below	book
ongoing by Tim Bray	0	0	1	0	1	0	0	0	1	0	0	4	4	0	12	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	4	2	1	0	1	3	0	0	0	0	0	1	1	1	0	0	1	0	0	0	8	1	0	1	0	0	0	4	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	2	0	3	0	2	7	0	0	0	0	1	1	0	0	0	0	0	0	2	0	1	2	0	1	0	0	0	0	0	0	1	3	0	0	1	1	0	1	0	0	0	3	0	13	0	0	0	1	0	0	1	1	0	0	0	1	5	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	5	1	6	0	0	0	1	1	0	2	0	0	4	0	1	0	1	5	0	0	0	2	1	10	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	2	0	1	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	2	0	1	1	0	2	0	0	0	0	0	7	0	0	0	0	0	0	2	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	1	0	1	0	1	2	0	0	0	0	1	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	7	1	1	0	3	0	0	4	0	3	0	3	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	4	3	0	0	0	0	0	6	2	2	1	0	1	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	2	0	3	0	0	1	5	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	2	1	0	0	1	0	1	1	0	1	0	0	1	0	0	2	0	1	0	0	0	2	0	0	0	0	3	0	0	1	1	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	2	0	0	0	0	0	0	0	1	1	4	0	0	11	5	0	0	3	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	2	2	0	1	1	0	0	3	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0	1	0	0
The Viral Garden	5	3	26	0	1	6	0	4	34	4	0	59	4	9	4	8	5	2	0	4	5	4	1	3	8	1	8	2	5	6	36	2	14	1	7	1	73	2	1	0	0	25	5	1	3	5	4	4	1	23	70	3	14	0	0	1	0	44	1	2	0	1	1	7	0	7	3	6	11	15	23	0	0	0	18	7	9	4	5	1	1	5	1	26	44	1	1	9	8	3	5	1	4	134	9	3	13	8	3	12	6	12	9	0	0	4	10	2	8	0	24	0	0	14	1	10	5	3	8	6	6	1	83	1	0	10	20	2	0	24	16	5	1	3	4	0	10	13	3	7	10	1	1	2	0	14	8	4	7	0	3	0	3	2	17	2	7	3	3	2	20	6	5	1	0	11	5	5	5	1	3	0	17	8	1	22	50	90	6	7	8	39	3	22	6	2	1	0	2	0	3	0	23	41	5	28	1	2	4	3	3	0	9	2	3	14	0	2	22	0	18	6	10	2	1	1	2	9	8	2	16	2	2	2	2	26	122	2	9	2	31	13	79	11	14	4	3	1	25	5	0	3	1	11	1	1	11	3	10	28	10	0	0	3	8	0	5	11	11	6	8	0	1	8	1	11	4	1	20	0	0	4	2	0	3	3	0	15	10	3	1	14	0	1	3	1	1	3	0	8	0	0	0	8	2	1	0	6	1	0	1	5	5	14	0	8	71	1	17	3	0	0	29	0	7	18	2	3	10	0	11	1	10	5	2	0	9	6	10	5	7	8	15	1	7	0	2	4	14	16	2	3	6	13	0	0	3	3	69	20	9	21	1	1	1	1	1	7	2	1	1	56	11	0	0	4	12	1	4	2	0	4	2	0	1	13	30	26	8	3	0	0	33	1	5	8	5	1	24	1	8	2	2	10	4	3	16	0	3	2	7	0	0	0	3	5	0	0	2	0	3	1	8	2	8	6	12	4	16	9	0	1	15	3	6	1	6	24	2	9	2	2	6	11	13	7	0	0	13	8	0	9	19	4	1	11	0	8	0	0	17	5	21	0	0	4	11	3	11	10	1	2	2	1	1	13	0	1	2	30	0	68	1	5	14	5	3	3	9	6	13	8	2	4	6	8	4	5	0	0	3	1	6	10	1	1	10	0	21	0	0	0	3	19	2	5	5	7	0	3	4	0	3	1	4	10	2	3	8	6	11	4	5	1	7	3	14	7	7	2	40	3	46	42	41	2	0	34	0	0	1	12	0	0	1	1	7	3	5	0	2	2	1	0	2	7	8	2	6	0	6	6	8	0	5	2	18	6	19	0	0	4	2	10	0	3	1	0	20	22	0	10	1	0	6	32	1	5	72	15	24	3	0	0	4	1	5	50	0	1	0	6	17	40	7	25	0	7	1	1	0
SpikedHumor - Today's Videos and Pictures	0	6	102	0	0	2	1	0	1	0	1	5	0	0	2	0	0	0	0	2	1	1	0	0	6	0	0	2	0	1	5	0	8	0	0	2	3	1	1	0	0	4	1	0	0	0	0	1	0	1	2	0	0	0	1	1	0	6	0	0	2	2	0	1	0	1	0	0	0	0	2	2	0	0	1	4	0	1	0	2	0	0	0	2	11	0	2	1	0	0	0	0	0	0	0	1	0	0	0	7	0	2	1	2	3	0	3	3	0	4	4	1	0	4	1	0	0	0	0	1	1	0	1	0	0	2	0	0	5	13	2	2	0	1	0	15	2	1	1	0	0	0	0	1	0	0	1	3	0	1	0	4	1	0	1	1	1	0	0	0	2	3	0	0	0	0	2	3	1	0	0	0	2	3	1	2	3	0	1	0	3	2	1	6	0	4	0	0	0	0	1	2	0	3	0	2	0	0	1	1	2	4	0	0	0	2	1	1	0	0	0	3	0	0	0	0	0	1	0	4	0	2	1	0	0	1	0	4	0	1	4	0	6	0	0	0	1	0	0	0	2	0	4	1	1	0	0	0	1	0	2	3	0	0	0	1	0	0	2	0	1	0	5	3	0	0	0	1	9	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	1	3	0	2	0	1	0	1	0	1	1	0	0	2	3	3	0	1	1	0	0	1	0	0	7	1	0	0	0	1	0	5	0	3	1	0	1	0	0	1	0	0	2	1	0	0	2	1	0	0	0	0	0	0	3	1	0	0	0	3	0	0	0	3	1	2	2	12	2	0	0	0	3	0	3	0	0	5	2	0	0	3	1	4	2	2	0	2	1	1	0	0	2	2	2	1	0	0	0	0	5	0	0	2	4	0	0	1	0	2	0	0	0	1	1	0	0	0	4	5	1	0	3	0	0	1	1	0	0	0	1	0	1	0	2	2	2	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	1	1	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	3	1	0	0	2	2	8	1	3	0	0	0	3	1	1	0	5	0	2	2	0	0	0	102	1	2	2	0	3	0	0	1	0	0	0	0	1	1	1	0	5	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	2	1	0	0	0	4	0	0	3	1	0	0	14	0	1	1	1	0	0	1	0	2	0	0	0	3	0	1	0	0	7	9	0	0	0	0	0	0	0	0	0	4	1	0	0	0	1	0	0	1	2	5	3	0	1	1	2	1	0	1	1	0	0	3	3	4	2	2	0	0	1	1	5	0	2	0	0	2	3	0	0	1	0	0	0	0
The Official Google Blog	5	3	4	1	8	15	2	7	15	6	5	30	0	3	53	1	0	6	3	3	3	0	2	1	12	4	9	6	3	7	7	7	22	6	14	0	8	17	3	0	0	37	14	2	3	3	0	6	9	1	13	26	2	5	6	0	0	24	8	7	1	8	0	9	6	5	1	10	3	6	17	0	2	25	4	2	0	7	12	1	0	27	1	0	26	0	0	3	1	3	2	4	4	4	3	1	2	12	2	6	6	4	2	2	0	0	32	13	1	4	29	0	16	7	0	13	0	3	2	1	6	4	47	1	0	19	2	0	1	17	17	3	1	3	1	1	2	3	5	8	16	1	12	1	0	3	2	0	4	1	1	0	15	10	4	3	1	0	5	0	25	5	21	3	4	2	0	5	1	0	2	5	31	7	2	3	32	49	2	2	1	4	1	4	14	5	3	1	4	3	1	1	3	0	2	10	3	1	13	3	3	0	0	2	0	7	1	1	24	1	23	1	6	1	1	3	0	19	10	0	12	4	2	2	18	22	3	2	4	4	15	5	50	3	0	10	6	14	5	5	5	0	8	3	3	0	35	2	1	6	0	3	3	0	2	1	2	2	0	9	0	5	5	11	3	1	1	0	11	6	4	6	3	0	3	0	1	5	0	1	1	7	0	6	0	1	1	4	0	5	11	0	1	17	7	0	5	10	15	13	6	1	3	5	0	1	2	11	7	7	0	9	11	11	15	11	5	2	2	0	1	0	11	2	3	2	8	2	9	3	0	4	5	0	1	9	1	2	6	17	1	0	3	1	0	0	8	2	17	15	1	14	0	0	2	4	1	0	1	8	1	7	1	0	9	11	5	1	0	2	0	0	1	2	4	0	1	11	5	2	0	0	6	2	8	3	0	10	21	0	1	1	2	7	1	17	3	2	3	0	0	2	1	0	0	6	15	5	3	0	4	1	10	0	16	1	3	14	4	5	3	1	0	2	1	4	3	3	4	20	2	2	2	15	3	1	7	7	4	0	91	3	6	5	14	7	0	2	4	0	26	1	13	1	2	2	2	0	2	7	5	0	4	0	1	4	5	2	3	9	3	8	6	4	19	1	13	0	1	6	5	6	4	3	1	2	1	1	0	2	1	8	1	15	3	6	3	5	17	1	3	0	4	3	6	0	4	0	15	2	20	1	1	0	0	3	2	4	9	10	2	3	0	8	8	0	4	8	12	2	38	0	1	41	15	1	0	28	12	0	1	3	2	0	1	0	2	0	3	0	1	1	1	1	0	8	11	0	2	2	0	5	4	1	0	0	9	4	7	10	0	2	0	2	6	5	0	3	16	5	10	0	0	1	75	20	3	2	58	21	8	0	1	2	0	3	8	38	1	2	2	4	14	2	1	14	10	7	7	0	5
Neil Gaiman's Journal	10	1	39	2	3	3	7	3	16	0	0	36	2	5	11	13	2	5	6	1	2	14	0	1	8	8	32	12	5	52	74	2	32	3	16	16	61	4	13	3	0	39	3	2	0	1	2	9	6	2	60	2	13	6	0	1	1	57	8	0	2	0	2	11	6	11	9	5	42	13	14	7	2	1	11	14	1	20	4	2	13	23	2	18	67	3	8	17	7	2	2	2	7	2	5	2	0	3	3	6	4	10	29	1	0	1	18	3	6	9	22	0	5	29	7	0	3	2	1	12	34	1	115	10	0	24	10	3	25	44	45	19	11	13	3	1	7	7	4	0	16	3	5	1	0	20	31	23	4	0	5	8	1	1	17	5	6	12	6	7	37	12	6	1	1	4	6	6	2	3	17	1	18	14	4	17	40	63	0	2	8	39	20	31	2	1	4	12	0	3	16	0	0	10	15	18	1	0	9	5	3	0	22	0	3	20	10	3	36	0	30	2	5	6	3	2	8	15	11	1	23	12	2	8	0	15	4	5	21	7	5	0	20	1	9	0	8	7	24	1	14	4	1	4	2	3	11	5	21	12	1	14	1	8	1	0	2	10	8	8	5	6	11	17	5	6	0	1	36	10	2	2	2	1	0	7	11	18	5	4	1	6	2	4	47	2	2	4	2	8	0	1	5	14	6	4	2	20	35	1	1	0	0	16	1	2	5	5	98	19	4	0	0	2	5	20	0	11	16	0	6	2	8	7	0	0	24	3	6	6	18	3	2	0	5	0	2	8	9	68	0	5	2	34	1	1	18	2	50	17	13	20	5	8	6	3	4	0	5	0	2	85	20	1	2	7	13	5	1	7	307	3	0	9	3	19	15	32	22	12	8	0	53	6	9	0	8	5	42	4	8	1	5	8	11	10	5	4	16	2	7	6	0	1	4	2	0	3	8	7	0	11	20	1	2	3	16	12	28	6	5	6	15	8	0	4	0	8	0	13	2	1	1	1	1	2	4	0	6	16	0	3	35	3	0	1	3	4	0	0	24	7	21	3	5	3	0	10	14	1	0	3	3	0	2	4	3	1	3	46	12	74	2	13	25	27	12	0	20	7	13	23	9	5	21	5	16	8	5	2	5	6	0	49	0	0	1	8	42	0	0	8	4	17	0	2	4	2	3	8	6	0	1	6	6	3	1	6	16	5	8	6	10	0	10	3	6	1	14	6	53	6	17	83	54	3	5	57	3	5	2	9	5	6	5	6	6	6	1	5	6	14	3	8	4	13	59	2	17	67	2	0	2	0	1	2	15	8	1	0	3	11	10	0	1	6	0	2	10	19	1	22	7	0	29	70	2	5	22	54	15	1	1	5	4	12	17	51	2	5	0	2	21	33	8	6	0	17	3	1	74
Signal v. Noise - Medium	2	5	18	1	0	2	1	3	16	2	6	59	1	3	62	2	1	7	4	29	11	4	2	0	8	6	20	11	8	28	28	6	34	2	22	6	61	14	0	2	0	37	14	2	2	2	6	4	24	2	55	7	4	2	2	1	1	34	0	2	1	2	2	8	0	25	6	3	7	37	7	0	0	5	9	12	2	4	0	2	1	2	2	5	28	1	0	2	1	2	11	0	2	2	1	4	39	9	1	8	12	3	25	4	0	1	18	3	3	7	34	2	0	11	8	0	1	0	0	4	10	3	44	2	0	16	2	2	0	36	17	2	6	7	8	7	10	12	6	2	15	5	3	7	1	15	6	8	8	0	0	1	3	2	6	2	4	13	3	1	46	13	5	9	1	9	6	1	3	0	2	0	37	11	6	21	24	55	0	4	2	44	3	6	1	1	2	0	8	1	0	0	4	8	5	21	3	2	3	7	1	0	2	10	4	17	1	3	21	0	15	3	6	3	4	2	0	14	2	0	7	2	5	2	3	11	3	1	6	1	6	40	57	5	26	3	6	4	14	7	13	10	3	1	4	1	13	1	6	1	3	0	3	2	3	0	2	3	1	2	4	1	5	11	7	1	1	1	26	6	4	3	0	2	2	8	2	18	1	3	0	12	12	2	1	0	2	8	0	2	1	0	0	18	6	2	5	21	2	2	1	2	0	6	3	7	2	26	36	2	6	2	3	1	0	13	2	0	8	0	2	1	5	0	2	2	6	1	22	10	5	4	12	0	7	4	0	1	19	18	0	5	1	3	2	0	5	3	50	22	3	34	0	5	5	0	5	2	3	1	0	43	14	1	1	14	5	1	4	2	0	8	0	4	0	13	38	22	11	7	1	0	17	7	4	0	1	0	20	2	2	0	0	20	9	4	7	6	1	2	3	0	1	11	3	12	8	5	1	0	0	10	7	0	5	3	5	8	8	6	0	7	4	8	1	1	1	15	2	11	2	1	1	9	7	0	2	3	26	8	2	5	17	3	1	10	0	1	8	5	30	6	9	0	0	8	1	0	4	2	4	0	0	1	6	13	2	6	1	8	5	97	5	5	22	10	6	0	9	5	7	8	4	12	10	4	3	1	3	1	6	1	1	21	4	11	0	0	8	0	1	8	2	14	4	0	3	1	2	3	6	0	2	3	0	8	1	11	7	1	10	7	5	4	9	12	4	6	11	7	47	2	0	45	42	3	2	36	2	0	11	4	1	3	2	3	8	3	0	0	8	14	1	10	2	14	24	6	1	0	2	4	3	4	0	0	30	9	20	5	2	8	2	4	2	5	0	5	12	16	3	27	2	1	39	50	3	11	22	20	6	5	1	1	4	1	4	26	0	3	4	5	24	16	12	14	1	12	3	4	0
Joel on Software	5	2	9	0	0	1	2	3	28	0	5	20	0	1	47	1	0	2	2	5	1	0	0	0	6	2	8	1	3	15	11	4	18	3	9	3	44	1	3	2	0	12	12	1	1	0	0	3	5	0	57	2	25	9	6	1	0	17	2	10	6	4	0	3	0	6	1	1	14	8	6	0	0	1	5	12	1	11	1	7	2	0	1	1	22	1	0	2	3	3	5	0	3	2	0	5	10	2	2	3	5	6	18	2	0	0	4	1	5	4	9	1	4	3	4	2	0	6	1	1	5	5	46	5	0	13	2	1	2	37	14	0	1	1	4	0	10	26	9	8	4	0	1	4	0	3	13	2	8	14	0	1	4	1	5	1	2	4	2	2	4	6	1	10	1	0	4	3	0	2	2	1	18	4	0	8	24	74	3	0	1	31	2	3	0	0	0	0	1	16	0	2	0	4	3	20	1	1	3	4	5	3	3	5	1	9	5	2	21	0	5	1	0	2	3	1	0	15	3	1	6	1	0	0	3	9	0	2	4	3	15	9	31	2	12	6	9	2	9	0	2	19	0	6	0	3	10	3	13	1	0	0	0	5	1	0	1	0	2	11	5	1	5	9	6	1	5	1	23	1	6	2	2	0	2	10	0	13	0	3	2	6	13	0	1	3	1	5	2	2	1	0	2	15	3	6	2	5	0	0	0	0	1	11	0	3	2	1	1	0	0	0	11	0	3	18	0	1	7	0	3	2	4	3	6	0	4	1	11	0	4	2	1	0	0	9	3	1	22	7	3	4	5	3	0	1	8	4	32	22	3	30	2	4	1	2	1	2	4	9	0	14	4	6	7	6	4	0	3	0	21	2	0	0	0	7	10	16	4	13	4	0	11	1	2	4	2	0	31	1	2	0	0	13	11	11	5	11	18	4	7	0	0	0	3	1	0	5	0	6	6	0	8	1	1	3	1	2	6	2	0	5	5	6	1	2	6	12	0	10	2	6	1	3	2	2	2	13	12	10	4	6	5	1	1	2	5	0	1	7	13	0	2	0	1	1	5	4	6	9	5	3	4	4	1	15	0	9	1	13	0	10	1	1	9	4	6	0	9	12	4	4	14	4	7	2	0	7	2	0	4	3	0	9	3	2	0	2	26	0	0	12	2	5	0	1	1	1	2	0	10	0	3	1	1	2	1	4	17	3	6	1	4	3	5	1	1	1	0	8	21	2	5	41	22	0	0	42	2	0	1	2	0	13	2	3	18	1	7	0	0	2	0	11	2	1	0	2	0	16	1	2	0	0	0	0	14	6	1	3	4	7	1	14	2	2	1	3	13	9	0	11	0	2	34	24	0	0	21	18	9	2	0	2	0	4	3	21	1	1	0	5	16	18	11	9	2	4	1	0	0
Boing Boing	0	0	7	0	0	1	1	1	1	0	0	9	1	2	5	1	3	0	1	0	1	1	0	1	5	1	6	2	0	6	5	1	12	0	3	2	4	0	0	0	2	6	0	0	2	0	1	2	0	1	9	1	2	5	0	0	2	17	1	4	0	2	3	2	3	6	0	0	3	5	4	0	1	3	8	2	1	4	1	0	2	3	1	1	17	2	3	3	1	2	1	0	2	0	4	0	0	2	0	6	1	1	5	1	0	3	7	0	0	1	2	1	2	3	0	0	0	2	0	1	0	0	17	0	6	4	1	1	3	10	6	2	0	1	0	11	0	2	2	0	3	0	3	1	3	2	6	2	2	2	0	1	0	0	1	0	1	0	0	1	2	11	0	2	2	0	3	0	0	1	0	0	6	4	2	5	5	6	3	1	4	3	2	13	1	2	0	1	0	1	5	2	0	3	2	3	0	2	1	1	3	2	0	0	0	4	0	1	6	2	2	1	3	2	0	0	1	3	1	1	6	1	0	2	9	3	0	3	1	1	2	1	3	3	2	1	0	0	2	0	0	1	1	0	0	3	2	1	1	2	0	2	0	4	2	2	0	1	3	2	2	1	2	6	2	0	0	2	11	2	0	0	1	4	0	4	2	5	5	0	0	1	1	2	4	0	1	1	0	1	0	5	1	1	2	1	2	3	11	0	0	0	0	5	0	2	6	1	25	1	0	2	0	0	1	4	0	0	1	6	1	0	2	1	0	0	3	1	1	0	1	0	1	0	3	1	0	1	2	4	1	0	0	6	2	1	1	0	10	2	0	8	5	0	1	0	0	5	3	2	0	7	3	2	0	2	4	2	1	1	0	0	2	0	0	2	3	6	2	5	0	5	5	2	4	5	1	1	8	3	0	2	4	2	1	0	2	2	2	0	3	3	3	8	0	0	2	1	0	2	0	0	2	1	0	0	0	2	4	1	6	2	0	0	0	1	0	3	5	2	1	1	2	1	0	0	0	0	2	0	0	3	6	0	0	0	1	1	1	1	4	1	3	1	1	1	0	0	1	2	1	1	2	0	2	1	2	1	1	4	0	8	0	1	6	0	1	2	5	0	0	1	1	1	1	1	2	2	4	1	1	2	0	8	0	1	0	0	11	6	3	1	0	6	1	0	0	0	3	1	3	15	0	0	1	4	0	2	4	0	1	0	0	0	0	0	2	0	0	2	6	1	0	5	5	0	0	5	0	0	1	3	0	1	2	1	4	1	1	1	1	0	2	0	0	1	18	0	0	0	1	0	3	0	1	0	6	1	2	0	0	1	0	2	0	0	0	0	1	0	2	3	3	0	5	4	0	0	7	10	3	1	2	1	1	0	0	16	1	0	0	3	3	4	0	1	0	5	0	0	6
The Full Feed from HuffingtonPost.com	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	6	0	0	0	2	0	0	0	2	0	0	0	6	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	1	0	1	3	0	1	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	6	0	0	0	0	7	2	0	0	0	1	1	0	0	0	4	1	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	2	0	3	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	3	2	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	4	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	4	0	2	0
WIL WHEATON dot NET	5	3	16	0	2	1	5	0	25	2	0	14	4	0	16	13	0	24	1	0	4	1	1	0	7	3	11	17	2	22	17	3	10	1	17	5	12	0	3	2	0	30	0	0	1	2	2	7	13	1	51	1	20	5	0	0	0	30	0	0	1	26	0	6	0	5	3	2	23	10	3	0	0	0	10	16	0	4	1	6	2	7	1	13	24	0	1	0	0	2	9	3	3	0	1	6	0	0	1	5	7	3	18	0	0	0	11	1	2	6	12	4	1	7	9	0	1	1	0	10	23	1	56	8	0	25	0	0	1	37	17	11	5	8	3	0	10	4	1	0	6	3	2	2	0	19	20	11	5	3	3	4	2	2	5	2	2	11	0	0	21	8	9	0	1	2	3	1	0	5	7	3	12	6	0	14	19	25	0	0	5	36	5	2	0	1	4	2	0	1	8	0	0	0	1	23	2	0	13	1	3	6	10	0	6	10	1	4	26	0	11	0	1	2	4	0	1	17	2	3	17	4	0	2	0	8	0	10	10	2	0	0	23	6	13	1	0	7	7	3	1	1	1	0	1	0	2	1	5	1	4	0	4	8	2	0	8	2	9	1	1	3	14	5	4	3	0	0	25	6	2	2	0	0	0	10	3	27	0	0	0	6	1	2	3	0	1	10	0	2	0	1	2	4	3	0	0	10	19	0	0	0	6	6	7	0	2	4	16	5	1	0	0	7	2	29	1	2	4	0	4	2	6	3	0	0	15	1	11	5	2	2	0	0	7	0	4	1	24	50	7	2	5	36	3	0	5	0	33	21	6	41	1	7	1	0	3	0	9	2	1	47	15	1	0	5	7	1	8	1	1	1	0	3	0	29	11	11	4	15	2	0	25	1	3	0	3	1	43	2	7	0	0	9	3	1	4	2	0	2	4	0	0	1	2	4	1	0	0	0	0	1	7	0	6	2	0	13	16	3	8	7	1	7	4	3	3	7	0	7	1	2	0	1	1	2	6	0	6	5	0	1	14	3	0	2	1	1	0	3	9	4	14	0	0	1	0	4	10	2	2	1	2	12	1	10	3	1	1	16	0	91	3	1	11	10	6	3	15	2	14	7	2	2	11	7	0	13	7	0	8	1	0	36	1	2	2	1	17	0	0	5	0	9	0	7	3	0	0	2	8	0	0	1	2	1	1	4	6	0	7	1	0	3	5	17	8	1	5	6	47	1	0	43	30	2	0	36	0	1	2	2	0	2	0	5	1	0	3	0	18	16	2	6	4	9	10	0	2	5	3	0	2	6	0	1	27	0	0	1	2	1	1	0	0	8	2	0	6	10	2	19	0	0	13	45	0	0	10	21	5	0	0	0	2	13	0	17	0	1	0	2	12	46	9	6	0	12	2	0	2
